instrument_token,exchange_token,tradingsymbol,name,last_price,expiry,strike,tick_size,lot_size,instrument_type,segment,exchange
13238786,51714,NIFTY26MARFUT,NIFTY,0,2026-03-30,0.0,0.1,65,FUT,NFO-FUT,NFO
17072898,66691,NIFTY26APRFUT,NIFTY,0,2026-04-28,0.0,0.1,65,FUT,NFO-FUT,NFO
16914178,66071,NIFTY26MAYFUT,NIFTY,0,2026-05-26,0.0,0.1,65,FUT,NFO-FUT,NFO
